2026-04-04 16:18:12 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=0
2026-04-04 16:18:22 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=10
2026-04-04 16:18:22 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=10
2026-04-04 16:18:33 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=21
2026-04-04 16:18:33 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=21
2026-04-04 16:18:43 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=31
2026-04-04 16:18:43 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=31
2026-04-04 16:18:54 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=41
2026-04-04 16:18:54 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=41
2026-04-04 16:19:04 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=51
2026-04-04 16:19:04 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=51
2026-04-04 16:19:14 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=62
2026-04-04 16:19:14 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=62
2026-04-04 16:19:24 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=72
